Name,Description,Alg,Category,Notes
KN,"[M' : [U R' U' , M']]",M' U R' U' M' U R U' M2,M-Swap,
KO,"[U' : [S' , R' F' R]]",U' S' R' F' R S R' F R U,S-Swap,
KP,"[M' : [U R U' , M']]",M' U R U' M' U R' U' M2,M-Swap,
KQ,"[U' : [S , R' F' R]]",U' S R' F' R S' R' F R U,S-Swap,
KR,"[U L U' , M']",U L U' M' U L' U' M,M-Swap,
KS,U M' U' M U2 M U M' U,U M' U' M U2 M U M' U,Alg,
KT,"[U' R' U , M']",U' R' U M' U' R U M,M-Swap,
KV,"[U R' F' R' : [S , R2]]",U R' F' R' S R2 S' R' F R U',4-Mover,
KW,"[D : [R F R' , S']]",D R F R' S' R F' R' S D',S-Swap,
KX,"[U' L F L : [S' , L2']]",U' L F L S' L2' S L F' L' U,4-Mover,
LA,"[L U' : [S' , L2']]",L U' S' L2' S L2 U L',4-Mover,
LB,"[R E2 R' , U']",R E2 R' U' R E2 R' U,U-Swap,
LD,"[U2 : [R E2 R' , U]]",U2 R E2 R' U R E2 R' U,U-Swap,
LE,"[L' U' : [L S L' , U']]",L' U' L S L' U' L S' L' U2 L,U-Swap,
LG,"[L f' L : [S , L2']]",L f' L S L2' S' L f L',4-Mover,
LH,"[L' U L , E]",L' U L E L' U' L E',E-Swap,
LJ,"[R' U' R' : [E , R2]]",R' U' R' E R2 E' R' U R,4-Mover,
LK,"[M' , U L' U']",M' U L' U' M U L U',M-Swap,
LM,"[M' : [L' S L , U]]",M' L' S L U L' S' L U' M,U-Swap,
LN,"[L' : [U , L' E L]]",L' U L' E L U' L' E' L2,U-Swap,
LO,"[R E2 : [R' U' R , E']]",R E2 R' U' R E' R' U R E' R',E-Swap,
LP,"[L' U L , E']",L' U L E' L' U' L E,E-Swap,
LQ,"[M , U L' U']",M U L' U' M' U L U',M-Swap,
LR,"[U' L : [S' , L2']]",U' L S' L2' S L U,4-Mover,
LS,"[U' R' B : [E , R2]]",U' R' B E R2 E' R2 B' R U,4-Mover,
LT,"[R U' R' : [E , R2]]",R U' R' E R2 E' R' U R',4-Mover,
LU,"[U' D R' : [E , R2]]",U' D R' E R2 E' R' D' U,4-Mover,
LV,"[U' R' : [E , R2]]",U' R' E R2 E' R' U,4-Mover,
LW,"[M2' , U L' U']",M2' U L' U' M2 U L U',M-Swap,
LX,U' L U L U' L' U' L' U' L U2',U' L U L U' L' U' L' U' L U2',Alg,
MA,"[U M U' : [M , U2]]",U M U' M U2 M' U' M' U',4-Mover,
MD,"[R' F R , S]",R' F R S R' F' R S',S-Swap,
