Pair,Description,Alg,Memo,Category,Notes
IW,"[D R : [R D' R' , U2]]",D R2 D' R' U2 R D R' U2 R' D',Inkwell,U2-swap,
IX,"[R : [R D' R' , U2]]",R2 D' R' U2 R D R' U2 R',Index,U2-swap,
KA,"[U D : [R D R' , U2]]",U D R D R' U2 R D' R' U2 D' U',Koala,U2-swap,
KB,"[D' : [U , R' D R]]",D' U R' D R U' R' D' R D,Kebab,U-swap,
KD,"[D' : [U' , R' D R]]",D' U' R' D R U R' D' R D,Kid,U'-swap,
KE,"[D' U R' : [R' D R , U']]",D' U R2 D R U' R' D' R U R U' D,Key,U'-swap,
KF,"[U R U' : [F , U R' U' R]]",U R U' F U R' U' R F' R',Coffee,F-swap,
KG,"[U : [R U' R' , D]]",U R U' R' D R U R' D' U',Keg,D-swap,
KH,"[l' U : [R U' R' , D]]",l' U R U' R' D R U R' D' U' l,Keith,D-swap,
KI,"[R' : [F2 , R D' R' D]]",R' F2 R D' R' D F2 D' R D,Kiri,F2-swap,
KL,"[R' : [F' , R D' R' D]]",R' F' R D' R' D F D' R D,Kale,F'-swap,
KN,"[U' R' U : [R D R' , U2]]",U' R' U R D R' U2 R D' R' U R U,Ken,U2-swap,
KO,"[U : [R U' R' , D']]",U R U' R' D' R U R' D U',Coco,D'-swap,
KQ,"[D' R' U : [R U' R' , D]]",D' R' U R U' R' D R U R' D' U' R D,Katchi,D-swap,
KR,"[U' R' U2 : [R D R' , U]]",U' R' U2 R D R' U R D' R' U R U,Car,U-swap,
KS,"[U : [R U' R' , D2]]",U R U' R' D2 R U R' D2 U',Kiss,D2-swap,
KT,"[R U R' U' : [D' , R U R']]",R U R' U' D' R U R' D R U' R' U R U' R',Kitkat,D'-swap,
KU,"[U R U' : [F2' , U R' U' R]]",U R U' F2' U R' U' R F2 R',Kuck,F2-swap,
KW,"[U R' D' : [U' , R' D R]]",U R' D' U' R' D R U R' D' R D R U',Kiwi,U'-swap,
KX,"[R' D' R : [R U R' , D]]",R' D' R2 U R' D R U' R' D' R' D R,Kesha,D-swap,
LA,"[D' U : [R D' R' , U2]]",D' U R D' R' U2 R D R' U D,Lala,U2-swap,
LB,"[D : [U , R' D' R]]",D U R' D' R U' R' D R D',Lebron,U-swap,
LD,"[D : [U' , R' D' R]]",D U' R' D' R U R' D R D',Lead,U'-swap,
LE,"[R U2 : [R' D R , U']]",R U2 R' D R U' R' D' R U' R',Lee,U'-swap,
LF,"[D R' U' : [R U R' , D']]",D R' U' R U R' D' R U' R' D U R D',Loaf,D'-swap,
LH,"[D : [R U R' , D]]",D R U R' D R U' R' D2,Leah,D-swap,
LI,"[R U' : [R' D R , U U]]",R U' R' D R U2 R' D' R U' R',Lilly,U2-swap,
LK,"[D' R' D : [F' , D' R D R']]",D' R' D F' D' R D R' F R,Lake,F'-swap,
LN,"[U R U D : [R' D' R , U2]]",U R U D R' D' R U2 R' D R U2 D' U' R' U',Lan,U2-swap,
LO,"[R D2 : [R' U' R , D']]",R D2 R' U' R D' R' U R D' R',Loo,D'-swap,
LP,"[D , R U R']",D R U R' D' R U' R',Lip,D-swap,
LQ,"[R' F : [R U' R' , D]]",R' F R U' R' D R U R' D' F' R,Leach,D-swap,
LR,"[D R' : [D , R' U R]]",D R' D R' U R D' R' U' R2 D',Larry,D-swap,
LS,"[D' R D' : [R' U' R , D2]]",D' R D' R' U' R D2 R' U R D' R' D,Lisa,D2-swap,
LT,"[D : [R U R' , D2]]",D R U R' D2 R U' R' D,Lit,D2-swap,
LV,"[R U' R' : [R' D R , U2]]",R U' R2 D R U2 R' D' R U2 R U R',Love,U2-swap,
LW,"[D R : [R D' R' , U']]",D R2 D' R' U' R D R' U R' D',Law,U'-swap,
LX,"[D R D : [U , R' D' R]]",D R D U R' D' R U' R' D R D' R' D',Lash,U-swap,
NA,"[R' U D R : [D' , R U' R']]",R' U D R D' R U' R' D R U R2 D' U' R,Nana,D'-swap,
ND,"[U' R2' : [D' , R U2 R']]",U' R2' D' R U2 R' D R U2 R U,Ned,D'-swap,
NE,"[R : [U , R2 D R2 D' R2]]",R U R2 D R2 D' R2 U' R2 D R2 D' R,Knee,U-swap,
NF,"[R U' D' R' : [R' U R , D]]",R U' D' R2 U R D R' U' R D' R D U R',Knife,D-swap,
NG,"[U R U' : [R' D R , U2]]",U R U' R' D R U2 R' D' R U' R' U',Knight,U2-swap,
NH,"[U R : [U2 , R D' R']]",U R U2 R D' R' U2 R D R2 U',Noah,U2-swap,
NI,"[R' F' R D U : [R' D' R , U2]]",R' F' R D U R' D' R U2 R' D R U D' R' F R,Nine,U2-swap,
NK,"[U' R' U' : [R D R' , U2]]",U' R' U' R D R' U2 R D' R' U' R U,Nike,U2-swap,
NL,"[U R U' D : [R' D' R , U2]]",U R U' D R' D' R U2 R' D R U2 D' U R' U',Nile,U2-swap,
NO,"[U R U' : [R' D' R , U2]]",U R U' R' D' R U2 R' D R U' R' U',No,U2-swap,
NP,"[U' R' D U' : [R D' R' , U2]]",U' R' D U' R D' R' U2 R D R' U' D' R U,Nip,U2-swap,
NR,"[U R2 U' : [D' , R U R']]",U R2 U' D' R U R' D R U' R' U R2 U',Nora,D'-swap,
NS,"[U' R' U' : [R D' R' , U2]]",U' R' U' R D' R' U2 R D R' U' R U,Nose,U2-swap,
NT,"[R' F' R D' U : [R' D R , U2]]",R' F' R D' U R' D R U2 R' D' R U D R' F R,Knit,U2-swap,
NU,"[U' R' : [R' D R , U2]]",U' R2 D R U2 R' D' R U2 R U,Nut,U2-swap,
NV,"[D' U' R' : [R' D R , U2]]",D' U' R2 D R U2 R' D' R U2 R U D,Knave,U2-swap,
NW,"[U R U' D' : [R' D R , U2]]",U R U' D' R' D R U2 R' D' R U2 D U R' U',Newt,U2-swap,
NX,"[D U' R' : [R' D R , U2]]",D U' R2 D R U2 R' D' R U2 R U D',Nashi,U2-swap,
OA,"[U : [R D R' , U2]]",U R D R' U2 R D' R' U,Oasis,U2-swap,
OB,"[R D R' , U']",R D R' U' R D' R' U,Oboe,U'-swap,
OD,"[U2 : [R D R' , U]]",U2 R D R' U R D' R' U,Odd,U-swap,
OE,"[U' R' F R : [R D R' , U']]",U' R' F R2 D R' U' R D' R' U R' F' R U,One,U'-swap,
OF,"[D' R : [R' U R U' , F]]",D' U R U' F U R' U' R F' R' D,Olaf,F-swap,
OG,"[U D' : [R U' R' , D2]]",U D' R U' R' D2 R U R' D' U',Ogre,D2-swap,
OH,"[R D : [R' U' R , D2]]",R D R' U' R D2 R' U R D R',Oath,D2-swap,
OI,"[R D' U' : [R' D R , U2]]",R D' U' R' D R U2 R' D' R U' D R',Oni,U2-swap,
OK,"[U : [D' , R U' R']]",U D' R U' R' D R U R' U',Oak,D'-swap,
OL,"[R D : [R' U' R , D]]",R D R' U' R D R' U R D2 R',Oil,D-swap,
ON,"[U R U : [R' D' R , U2]]",U R U R' D' R U2 R' D R U R' U',On,U2-swap,
OP,"[R D' : [R' D R , U]]",R D' R' D R U R' D' R U' D R',Oprah,U-swap,
OQ,"[U' R U : [R' U' R , D]]",U' R U R' U' R D R' U R D' U' R' U,Ostrich,D-swap,
OR,"[R B' : [R' U' R , D]]",R B' R' U' R D R' U R D' B R',Oar,D-swap,
OS,"[U' : [R' U' R , D']]",U' R' U' R D' R' U R D U,Oz,D'-swap,
OU,"[U' R' : [R' D R , U]]",U' R2 D R U R' D' R U' R U,Out,U-swap,
OV,"[D' U R U' : [F2 , U R' U' R]]",D' U R U' F2 U R' U' R F2 R' D,Oval,F2-swap,
OX,"[U D' R D' : [U' , R' D R]]",U D' R D' U' R' D R U R' D' R D R' D U',Ox,U'-swap,
PA,"[U2 , R' D' R]",U2 R' D' R U2 R' D R,Papaya,U2-swap,
PB,"[U , R' D' R]",U R' D' R U' R' D R,Pub,U-swap,
PD,"[U' , R' D' R]",U' R' D' R U R' D R,Pad,U'-swap,
PE,"[U R' U' : [R D R' , U']]",U R' U' R D R' U' R D' R' U2 R U',Peas,U'-swap,
PF,"[R' U' : [R U R' , D']]",R' U' R U R' D' R U' R' D U R,Puff,D'-swap,
PG,"[U R' D' : [R U' R' , D2]]",U R' D' R U' R' D2 R U R' D' R U',Pug,D2-swap,
PH,"[R U R' , D2]",R U R' D2 R U' R' D2,Path,D2-swap,
PI,"[D R U' : [R' D' R , U2]]",D R U' R' D' R U2 R' D R U' R' D',Pip,U2-swap,
PL,"[R U R' , D]",R U R' D R U' R' D',Pill,D-swap,
PN,"[U' R' D U : [R D' R' , U2]]",U' R' D U R D' R' U2 R D R' U D' R U,Pen,U2-swap,
PO,"[R D' : [U , R' D R]]",R D' U R' D R U' R' D' R D R',Poo,U-swap,
PQ,"[R' U : [R U' R' , D']]",R' U R U' R' D' R U R' D U' R,Pooch,D'-swap,
PR,"[R' : [D , R' U R]]",R' D R' U R D' R' U' R2,Pear,D-swap,
PS,"[U R' D' : [R U' R' , D']]",U R' D' R U' R' D' R U R' D2 R U',Piss,D'-swap,
PT,"[R U R' , D']",R U R' D' R U' R' D,Pot,D'-swap,
